,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
1036,0021500195,1610612759,Spurs,SAS,San Antonio,240,0.521,0.306,0.194,0.2,0.439,0.23,0.186,0.175
1037,0021500195,1610612763,Grizzlies,MEM,Memphis,240,0.439,0.23,0.186,0.175,0.521,0.306,0.194,0.2
1038,0021500196,1610612746,Clippers,LAC,Los Angeles,240,0.439,0.27,0.22,0.273,0.397,0.397,0.171,0.318
1039,0021500196,1610612761,Raptors,TOR,Toronto,240,0.397,0.397,0.171,0.318,0.439,0.27,0.22,0.273
1040,0021500197,1610612738,Celtics,BOS,Boston,240,0.512,0.256,0.173,0.222,0.538,0.418,0.159,0.359
1041,0021500197,1610612751,Nets,BKN,Brooklyn,240,0.538,0.418,0.159,0.359,0.512,0.256,0.173,0.222
1042,0021500198,1610612740,Pelicans,NOP,New Orleans,240,0.524,0.471,0.131,0.222,0.483,0.367,0.138,0.22
1043,0021500198,1610612756,Suns,PHX,Phoenix,240,0.483,0.367,0.138,0.22,0.524,0.471,0.131,0.222
1044,0021500199,1610612742,Mavericks,DAL,Dallas,240,0.59,0.337,0.165,0.25,0.572,0.2,0.16,0.341
1045,0021500199,1610612760,Thunder,OKC,Oklahoma City,240,0.572,0.2,0.16,0.341,0.59,0.337,0.165,0.25
1046,0021500200,1610612743,Nuggets,DEN,Denver,240,0.453,0.407,0.185,0.271,0.612,0.146,0.201,0.282
1047,0021500200,1610612744,Warriors,GSW,Golden State,240,0.612,0.146,0.201,0.282,0.453,0.407,0.185,0.271
1048,0021500201,1610612747,Lakers,LAL,Los Angeles,240,0.398,0.307,0.115,0.294,0.54,0.195,0.103,0.163
1049,0021500201,1610612757,Trail Blazers,POR,Portland,240,0.54,0.195,0.103,0.163,0.398,0.307,0.115,0.294
